platform,campaign,ad_group,language,keyword,match_type,headline_1,headline_2,description,final_url,utm_template
Google Ads,Search_ALM_KZ,kz_signs,kk,"маңдайша Алматы",phrase,"Алматыда маңдайша жасау","Art Line — есептеу","Маңдайша және сыртқы жарнама. Нысанның фотосын, өлшемін немесе тапсырмасын жіберіңіз.",https://artlinekz-ahcuptvh.manus.space/kz/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_KZ,kz_illuminated_letters,kk,"жарық әріптер Алматы",phrase,"Жарық әріптер Алматыда","Нысанға арналған шешім","Фасад, дүкен немесе кеңсе үшін жарық және көлемді әріптер.",https://artlinekz-ahcuptvh.manus.space/kz/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_KZ,kz_outdoor_signs,kk,"сыртқы жарнама Алматы",phrase,"Алматыдағы сыртқы жарнама","Art Line жобалары","Маңдайша, жарық конструкциялар және брендтеу. Тапсырмаңызды талқылайық.",https://artlinekz-ahcuptvh.manus.space/kz/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_EN,en_signage,en,"signage Almaty",phrase,"Signage in Almaty | Art Line","Design to installation","Commercial signage for façades, offices and retail. Send a photo or project brief.",https://artlinekz-ahcuptvh.manus.space/en/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_EN,en_illuminated_letters,en,"illuminated letters Almaty",phrase,"Illuminated Letters Almaty","A solution for your site","Illuminated and dimensional letters for façades, offices and shops.",https://artlinekz-ahcuptvh.manus.space/en/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Google Ads,Search_ALM_EN,en_outdoor_signs,en,"outdoor advertising Almaty",phrase,"Outdoor Advertising Almaty","Art Line project route","Signage, wayfinding and branding from brief and layout to production and installation.",https://artlinekz-ahcuptvh.manus.space/en/,"utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword}"
Yandex Direct,Search_ALM_Signs,signs_almaty,ru,"вывески алматы",phrase,"Вывески и наружная реклама в Алматы","От макета до монтажа | Art Line","Изготовление вывесок и фасадных решений для бизнеса. Отправьте фото, размеры или описание задачи.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}"
Yandex Direct,Search_ALM_Signs,facade_sign,ru,"фасадная вывеска алматы",phrase,"Фасадная вывеска в Алматы","Решение под объект","Обсудим задачу и следующий шаг. Пришлите фото фасада и размеры.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}"
Yandex Direct,Search_ALM_Light,illuminated_letters,ru,"световые буквы алматы",phrase,"Световые буквы и лайтбоксы","Для фасада, офиса или магазина","Световые конструкции, объёмные буквы и короба. Опишите задачу в Art Line.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}"
Yandex Direct,Search_ALM_Light,lightbox,ru,"световой короб алматы",phrase,"Лайтбоксы в Алматы","От макета до производства","Световые короба и панели для коммерческих объектов. Отправьте фото проекта.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}"
Yandex Direct,Search_ALM_Additional,shop_window,ru,"оформление витрин алматы",phrase,"Оформление витрин в Алматы","Брендирование для ритейла","Витрины, плёнки и брендирование под задачу магазина или объекта.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}"
Yandex Direct,Search_ALM_Additional,wayfinding,ru,"таблички для офиса алматы",phrase,"Навигация и таблички","Для офиса и бизнеса","Соберём задачу по навигации, табличкам и оформлению пространства.",https://artlinekz-ahcuptvh.manus.space/,"utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}"
Yandex Direct,Search_ALM_KZ,kz_signs,kk,"маңдайша жасау Алматы",phrase,"Алматыда маңдайша жасау","Art Line — жоба есебі","Маңдайша және фасад шешімдері. Тапсырмаңызды немесе нысан фотосын жіберіңіз.",https://artlinekz-ahcuptvh.manus.space/kz/,"utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}"
Yandex Direct,Search_ALM_EN,en_signage,en,"commercial signage Almaty",phrase,"Commercial Signage in Almaty","Design to installation","Signage for façades, offices and retail. Send a photo or short project brief.",https://artlinekz-ahcuptvh.manus.space/en/,"utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}"
Yandex Direct,Search_ALM_EN,en_illuminated_letters,en,"lightbox Almaty",phrase,"Lightboxes in Almaty","A solution for your business","Lightboxes and illuminated panels for commercial spaces. Discuss your project.",https://artlinekz-ahcuptvh.manus.space/en/,"utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}"
